,product_id,avg_rating
1712,21022062,5.0
1701,20836264,5.0
4186,77737982,5.0
4112,75649461,5.0
4119,75790246,5.0
2063,29248443,5.0
2522,46134868,5.0
1077,10806848,5.0
150,484372,5.0
3677,69149307,5.0
2500,45327625,5.0
2481,44938330,5.0
3675,68976582,5.0
1092,11110653,5.0
2465,44579109,5.0
4058,74883580,5.0
4060,74893380,5.0
3674,68904994,5.0
1100,11204813,5.0
3513,65948026,5.0
4066,74911967,5.0
2079,30987213,5.0
3523,66573446,5.0
2433,44003914,5.0
2521,46107871,5.0
2554,46779514,5.0
4073,74978842,5.0
413,1658927,5.0
2630,48520298,5.0
3689,69507754,5.0
3481,63572345,5.0
1032,10638568,5.0
4024,74556865,5.0
4026,74556923,5.0
4027,74556930,5.0
4030,74558946,5.0
2615,48316743,5.0
2614,48316378,5.0
3483,63851307,5.0
3682,69201191,5.0
4031,74558974,5.0
3489,64434112,5.0
1455,15669042,5.0
2588,47964291,5.0
2582,47516974,5.0
133,460145,5.0
2437,44012841,5.0
2289,36996186,5.0
2333,38606217,5.0
4092,75514309,5.0
3542,66940778,5.0
2426,43834709,5.0
3554,67216147,5.0
3559,67260812,5.0
3566,67447238,5.0
2197,33969367,5.0
3573,67536643,5.0
4103,75581509,5.0
2155,32931450,5.0
4105,75590201,5.0
1215,12404622,5.0
4106,75615357,5.0
4107,75616850,5.0
1449,15623237,5.0
3586,67858243,5.0
2080,30987623,5.0
2332,38519367,5.0
3357,58362933,5.0
2358,40823887,5.0
2369,41239825,5.0
4083,75321722,5.0
2334,38705394,5.0
4088,75402106,5.0
2341,39165790,5.0
1115,11251711,5.0
3533,66730368,5.0
4086,75356672,5.0
4082,75320704,5.0
1129,11375305,5.0
4084,75321775,5.0
2399,42272602,5.0
2382,41556669,5.0
4014,74489817,4.9714285714285715
1272,13446740,4.966666666666667
4153,76283023,4.962962962962963
3780,71896003,4.961538461538462
4171,77030103,4.961538461538462
3360,58388702,4.956521739130435
2701,50179247,4.956521739130435
4057,74860089,4.9523809523809526
2912,52711975,4.95
2613,48313222,4.95
2708,50239829,4.95
3471,62754437,4.944444444444445
701,5865627,4.942857142857143
2789,51050952,4.9411764705882355
4076,74989061,4.940298507462686
3912,73179180,4.94017094017094
2979,53654257,4.9393939393939394
3549,67069703,4.9375
447,2045591,4.9375
171,506497,4.9375
4064,74908430,4.9375
189,536260,4.9375
2790,51055877,4.9375
3156,55669563,4.935483870967742
4190,77870921,4.933333333333334
569,3812659,4.933333333333334
3964,73795660,4.933333333333334
2890,52588635,4.933333333333334
1295,13764494,4.931034482758621
1266,13406602,4.928571428571429
3758,71201194,4.928571428571429
567,3770729,4.928571428571429
1927,25191433,4.928571428571429
2996,53853891,4.928571428571429
3953,73682812,4.928571428571429
749,6431175,4.928
1787,22193209,4.925925925925926
163,491442,4.925925925925926
1321,14071985,4.923076923076923
2265,36240066,4.923076923076923
3934,73398742,4.923076923076923
637,4713017,4.923076923076923
748,6412951,4.923076923076923
807,7217981,4.923076923076923
2253,35729879,4.923076923076923
1187,12071716,4.923076923076923
3181,56028477,4.923076923076923
3796,72034454,4.921875
1097,11199934,4.921052631578948
1833,23306883,4.921052631578948
3969,73821826,4.920634920634921
2730,50425707,4.92
1041,10690707,4.92
2436,44012580,4.918367346938775
743,6403893,4.917808219178082
2934,53080935,4.917355371900826
2628,48507969,4.916666666666667
2511,45651308,4.916666666666667
4042,74631286,4.916666666666667
323,825122,4.916666666666667
1686,20612430,4.916666666666667
3733,71062970,4.916666666666667
1517,16675019,4.916666666666667
2277,36518570,4.916666666666667
3798,72036884,4.916666666666667
871,8096306,4.916666666666667
3551,67087279,4.916666666666667
3907,73165085,4.915492957746479
3500,65410477,4.914285714285715
3596,68025746,4.913151364764268
4129,76054860,4.909090909090909
4201,79952488,4.909090909090909
2120,32200279,4.909090909090909
472,2249747,4.909090909090909
4141,76186679,4.909090909090909
1575,17954271,4.909090909090909
3273,57421895,4.909090909090909
4096,75540783,4.909090909090909
3684,69237786,4.909090909090909
3421,59198088,4.909090909090909
2679,49729049,4.909090909090909
2760,50592905,4.909090909090909
3714,70771651,4.907730673316708
2472,44801520,4.906976744186046
4126,75993812,4.906542056074766
3785,71938164,4.904761904761905
2873,52368889,4.904761904761905
3680,69196844,4.904761904761905
3146,55576273,4.903225806451613
3998,74246209,4.902439024390244
1536,17383981,4.901960784313726
1979,26087099,4.9
1274,13525399,4.9
1121,11293040,4.9
3450,60715918,4.9
2972,53639809,4.9
3005,54011798,4.9
3182,56037103,4.9
2216,34723316,4.9
635,4708475,4.9
3621,68354945,4.9
3246,56903194,4.9
3493,65030877,4.9
3247,56904924,4.9
3946,73640620,4.9
4206,80629901,4.9
3754,71198345,4.899328859060403
2678,49728912,4.898550724637682
